84701,B07,BLK 151
75339,B03,BLK 734
64579,B04,BET BLKS 544/546
47039,B23,AFT VIEW RD
53079,B14,FLAME TREE PK
28091,B23,LAKESIDE STN
NIL,B07,DEFU AVE 1
80071,B05,XI XIU FTY BLDG
16181,B04,CTRL LIB
26069,B11,AFT TUAS AVE 16
59251,B15,OPP DARUL MAKMUR MQUE
58289,B04,OPP SEMBAWANG SEC SCH (LP15)
19021,B05,SP SMA
84431,B10,BLK 3011
20209,B02,OPP PANDAN PR SCH
63091,B12,OPP BLK 106
46079,B05,OPP BLK 137
57081,B13,OPP BLK 713
48029,B19,BEF MANDAI LAKE RD
44191,B01,OPP BLK 171
25399,B09,SUMITOMO WAREHSE
52219,B05,AFT LOR 1 TOA PAYOH
46951,B01,
55381,NIL,BEF BULLION PK
31039,B05,OPP CIVIL DEFENCE ACADEMY
46449,B04,BLK 875
60039,B06,OPP BLK 66
43731,B02,ITE BT BATOK
28621,B07,BLK 241
18149,B05,OPP ANGLO-CHINESE JC
55349,B02,THOMSON GR
76191,B03,OPP TAMPINES REG LIB
67449,B03,BLK 323B
46729,B02,PACIFIC VINITEX
96271,B03,OPP GLOBAL LOGISTICS CTR
64441,B04,HOUGANG G. SHOP MALL
15119,B05,LP 36
47571,B04,BLK 618
24209,B02,AFT GUL LANE
91071,B17,BEF TG KATONG RD
71119,B04,
92139,B06,OPP KATONG OMEGA APT
NIL,B08,DEFU AVE 1
31191,B26,B26 OLD CHOA CHU KANG RD
01639,B02,BEF BEACH RD
28281,B19,
52229,NIL,JACKSON SQ
58119,B06A,BLK 502A
95149,B08,BEF CARGO BLDG D
59399,B09,OPP BLK 367
28049,B06,OPP THE SYNERGY
95049,B04,SATS CARGO TER
24499,NIL,CHAN BOON TECK LTD
17051,B06,BLK 436
59091,B13,BLK 154
21139,B14,AFT JURONG PORT RD
85031,B03,EXCELSIOR GDNS
14339,B03,BLK 71
54099,B06,OPP BLK 333
26099,B03,BEF TUAS AVE 13
55221,B02,OPP SMRT BUSES AMK DEPOT
44479,B02,BLK 206
17189,B18,BLK 317
70191,B03,MACPHERSON SEC SCH
83251,B08,BEF JALAN KHAIRUDDIN
96089,B06,OPP GRACE INDEPENDENT CH
29111,B02,YEO \& SON INVESTMENT
96219,B01,TANAH MERAH FERRY TER
54531,B08,MRT BISHAN DEPOT
84371,B03,BLK 546
25161,B07,TOYOCHEM INK
71109,B02,
24369,B05,OPP S'PORE CONTAINERS
52409,B04,OPP BLK 102
67439,B04,BLK 291A
28459,B06,OPP PARC OASIS
20211,B03,BLK 41
10069,B04,OPP BLK 140
44551,B03,BLK 486
92049,B02,PARKWAY PARADE
46189,B03,BLK 12
25341,B05,CSR STH EAST ASIA
24631,B01,OPP S'PORE PLASTIC
66101,B01,BLK 516
52481,B02,TOA PAYOH POLYCLINIC
67461,B02A,AFT SENGKANG EAST AVE
64491,B06,CTRL PL
84621,B17,OPP BLK 716
22299,B01,SENG MEE TRADING
76361,B07,BLK 430
55031,B46,OPP NCS HUB
93181,B13,OPP CP C4
13179,B04,OPP LUCKY TWR
59449,B02,OPP NAVAL BASE PR SCH
95071,B06,CHANGI BEACH CP 4
34019,B10,AFT LIM CHU KANG LANE 4
15099,B09,NATL LEADERSHIP INST
66089,B01,S'PORE POWER TRG INST
21149,B06,JURONG IND SVC CTR
44539,B02,
43341,B06,PRINCESS E PR SCH
66079,B03,PUB RECREATION CLUB
40081,B17,OPP SCGS
58191,B04,AFT WELLINGTON RD
01129,B10,OPP STAMFORD PR SCH
47199,B05,AFT LEAF TOBACCO DEVT CORP
84271,B06,OPP GOLDBELL SVC CTR
45229,B31,BEF WOODLANDS RD
81081,B03,OPP ALJUNIED STN
45171,B06,AFT RAILWAY CROSSING
83269,B03,OPP OPERA ESTATE PRI SCH
02031,B01,OPP THE ADELPHI
47091,B03,AFT SENOKO RD
44271,B01,BEF BLKS 13/14
28341,B15,CHINESE GDN STN
44081,B04,BLK 296A
43419,B02,BLK 628
55179,B14,OPP CASTLE GREEN
12179,B01,YANG'S GDN VILLAGE
99119,B01,OPP CHANGI GOLF CLUB
21681,B25,
96131,B02,
22091,B02,AFT JLN SAMULUN
57041,B05,NEE SOON HQ 22 SIB
28639,B06,BLK 288E
21271,B05A,OPP ASSYAKIRIN MQUE
58199,B03,OPP AUCKLAND RD
96159,B05,BLK 254
42071,B01,OPP BT TIMAH PLAZA
58129,B06,BLK 508 CP
31171,B30,OPP JLN BERSERI
21489,B06,AFT RAY LEE
18051,B02,ONE-NORTH STN
75069,B26,BEDOK REFORM TRG CTR
55361,B03,COUNTRYSIDE GDN P/G
65189,NIL,BEF PUNGGOL CTRL
45159,B01,MULTISTATES TRADING
52019,B17,AFT BISHAN RD
91151,NIL,HAWAII TOWER
65181,NIL,AFT PUNGGOL CTRL
64419,B03,BLK 681
75101,B02,BLK 880
91091,B08,BEF KG KAYU RD
67359,NIL,NAN CHIAU HIGH SCH
23411,B07,AFT JURONG MARINE BASE
53139,B07,MARYMOUNT VIEW
84211,B01,BLK 403
23161,B14,MUSTAD
21329,B11,OPP BRC WELD MESH FTY
27041,NIL,CP Y
57069,B10,OPP DIEPPE BARRACKS
43721,B02,BLK 319
10261,B03,DELTA SPORTS HALL
22561,B32,BLK 660
75059,B09,SAFRA TAMPINES
44201,B07,AFT PETIR STN
23211,B01,OPP REGENT MOTORS
22459,B10,BLK 643
16061,B27,OPP HENG MUI KENG TERR
82009,NIL,EUNOS INT
41119,B02,OPP LUTHERAN TWRS
58049,B28,BEF YISHUN AVE 2
51049,B18,SLF CPLX
14171,B11,OPP YEO'S BLDG
46799,B04,BLK 786A CP
58321,B01,BET BLKS 357/359
93091,B05,OPP SIGLAP STH CC
43509,B01,BLK 291E
23199,B06,S'PORE TPT PTE LTD
17241,B01,BLK 334
11449,B02,BLK 37B
84471,B15,BLK 745
59249,B13,BLK 257
45261,B03,BLK 551
21371,B02,BLK 680C
47129,B04,LIAN AIK SIONG MACHINERY
27091,B16,OPP BLK 271 CP
77281,B21,BLK 740
52281,B01,BLK 68
20121,B21,OPP BLK 51
43069,B12,AFT DAIRY FARM RD
96041,B09,BEF TROPICANA CONDO
10231,B05,OPP BLK 79
59439,B03,BLK 858
31089,B12,HQ 5TH SIB CAMP I
84159,B03,HITACHI CONSUMER PRODUCTS
61051,B07,AFT UPP S'GOON RD
84411,B02,BLK 526
58221,B02A,BLK 339 CP
22479,B02,AFT PIONEER RD NTH
05269,B07,MAXWELL RD FC
46731,B02,YEW HUAT SCAFFOLDING WORK
95089,B03,OPP CHANGI BEACH CP 5
20141,B17,OPP BLK 408
43621,B04,OPP PARKVIEW APTS
65311,NIL,OASIS STN
11021,B01,AFT QUEENSTOWN NPC HQ
83321,B01,KEMBANGAN STN
75229,B07,TEMASEK POLY EAST G
11159,B08,AFT CH OF OUR SAVIOUR
10489,B01,BLK 73
20341,B07,PAN TECH IND CPLX
77171,B04,OPP PASIR RIS TOWN PK
77231,B19,OPP BLK 643
84329,B07,BLK 414
07231,B03,BEF TAI HOE HOTEL
31041,B04,BEF MUSLIM CEMY PATH 7
60269,B02A,POTONG PASIR STN
81089,B04,ALJUNIED STN
54011,B01,BLK 207
26389,NIL,MULTI ALLIANCE
55301,B03,ANG MO KIO POLICE DIV HQ
28691,B01,
52391,B03,OPP BLK 231
95141,B07,AFT CARGO BLDG D
76271,B02,DUNMAN SEC SCH
28129,B04,AFT TRACK 18
75151,B03,OPP BLK 871A
46661,B01,OPP BLK 896B
12079,B10,OPP BIK 116
65319,NIL,OASIS STN
28139,B06,AFT TRACK 22
07531,B01,AFT SIM LIM SQ
52251,B01,CHUNG HWA FREE CLINIC
97071,B13,SELARANG CAMP
53069,B12,OPP WINDSOR PK
02089,NIL,PAN PACIFIC HOTEL
49151,B04,KWONG MAW SAWMILL
47141,B07,OPP HI-TECH FIBRE GLASS (S) PTE LTD
70111,B05,OPP CENCON BLDG
65161,B04,BLK 173B
76411,B01,NGEE ANN SEC SCH
21469,B02,BEF CHIA PING RD
43671,B08,OPP DUNEARN SEC SCH
76151,B07,BLK 237
24199,B04,UMW IND POWER PTE LTD
70091,B01,OPP TRAFFIC POLICE
25199,B02,KLENCO S'PORE
98081,B37,AFT JLN BATALONG
46719,B04,GIVAUDAN S'PORE
60181,B17,AFT MOONSTONE LANE
50081,B02,BLK 41A
43581,B05,BLK 347
08069,B07,HOTEL RENDEZVOUS
62061,B02,
59269,B06,
09022,B01,OPP ORCHARD STN
24179,B08,AALBORG BOILERS
21141,B05,AFT JLN BUROH
03218,B05,OPP MAS BLDG
43289,B01,HILLVIEW HSE
46021,B33,OPP WOODLANDS FIRE STN
99171,B10,CHANGI BEACH CP 2
66371,B03,BLK 261
23049,B03,JURONG CAMP
66241,B01,HEMSLEY AVE
58189,B01,OPP SEMBAWANG DRUG REHAB CTR
07379,B02,BEF KALLANG RD
43431,B06,OPP BLK 242
25091,B01,SEO ENG JOO FROZEN FOOD
62091,B08,OPP BARTLEY TERR
67209,B01,BLK 203
24331,B15,OPP ROBIN SHIPYARD
02171,B04,OPP THE RITZ-CARLTON
17139,B11,AFT CLEMENTI SWIM CPLX
75079,B05,BLK 819
93031,B15,OPP LAGUNA PK
65301,NIL,BLK 612A
14369,B08,GILLMAN HTS CONDO
83261,B06,OPERA ESTATE PRI SCH
44821,B01,
44689,B03A,SUNSHINE PL
11469,B09,QUEENSWAY SEC SCH
